feature_call,num_cells,pct_cells,median_umis,stddev_umis
1.CRko.sg_Neg_Control_Human_GA_0498.Neg_Control_Human,46.0,0.9372453137734311,215.0,302.4850509515294
1.CRko.sg_Neg_Control_Human_GA_0498.Neg_Control_Human|4.CRko.sg_hTNFRSF1A_5.TNFRSF1A,1.0,0.020374898125509373,695.0,0.0
1.CRko.sg_Neg_Control_Human_GA_0499.Neg_Control_Human,59.0,1.202118989405053,784.0,679.2717389785124
1.CRko.sg_Neg_Control_Human_GA_0499.Neg_Control_Human|4.CRko.sg_hTNFRSF1A_1.TNFRSF1A,1.0,0.020374898125509373,723.0,0.0
1.CRko.sg_Neg_Control_Human_GA_0499.Neg_Control_Human|4.CRko.sg_hTNFRSF1A_3.TNFRSF1A,1.0,0.020374898125509373,171.0,0.0
1.CRko.sg_Neg_Control_Human_GA_0500.Neg_Control_Human,51.0,1.039119804400978,701.0,2000.6575904711633
2.CRko.sg_hALAS1-INTRON_1.ALAS1-INTRON,28.0,0.5704971475142625,423.0,823.4081449768915
2.CRko.sg_hALAS1-INTRON_1.ALAS1-INTRON|1.CRko.sg_Neg_Control_Human_GA_0497.Neg_Control_Human,1.0,0.020374898125509373,1200.0,0.0
2.CRko.sg_hALAS1-INTRON_1.ALAS1-INTRON|2.CRko.sg_hALAS1-INTRON_4.ALAS1-INTRON,1.0,0.020374898125509373,1720.0,0.0
2.CRko.sg_hALAS1-INTRON_1.ALAS1-INTRON|2.CRko.sg_hDMD-INTRON_5.DMD-INTRON,2.0,0.040749796251018745,664.5,126.5
2.CRko.sg_hALAS1-INTRON_1.ALAS1-INTRON|2.CRko.sg_hDMD-INTRON_7.DMD-INTRON,1.0,0.020374898125509373,1533.0,0.0
2.CRko.sg_hALAS1-INTRON_1.ALAS1-INTRON|4.CRko.sg_hTNFRSF1A_2.TNFRSF1A,2.0,0.040749796251018745,429.5,7.5
2.CRko.sg_hALAS1-INTRON_2.ALAS1-INTRON,28.0,0.5704971475142625,445.0,617.0908491230676
2.CRko.sg_hALAS1-INTRON_2.ALAS1-INTRON|1.CRko.sg_Neg_Control_Human_GA_0488.Neg_Control_Human,1.0,0.020374898125509373,575.0,0.0
2.CRko.sg_hALAS1-INTRON_2.ALAS1-INTRON|1.CRko.sg_Neg_Control_Human_GA_0497.Neg_Control_Human,1.0,0.020374898125509373,624.0,0.0
2.CRko.sg_hALAS1-INTRON_2.ALAS1-INTRON|2.CRko.sg_hCHAT-INTRON_1.CHAT-INTRON,1.0,0.020374898125509373,914.0,0.0
2.CRko.sg_hALAS1-INTRON_3.ALAS1-INTRON,46.0,0.9372453137734311,150.5,131.11673178316016
2.CRko.sg_hALAS1-INTRON_3.ALAS1-INTRON|1.CRko.sg_Neg_Control_Human_GA_0485.Neg_Control_Human,1.0,0.020374898125509373,320.0,0.0
2.CRko.sg_hALAS1-INTRON_3.ALAS1-INTRON|1.CRko.sg_Neg_Control_Human_GA_0495.Neg_Control_Human,1.0,0.020374898125509373,246.0,0.0
2.CRko.sg_hALAS1-INTRON_3.ALAS1-INTRON|1.CRko.sg_Neg_Control_Human_GA_0500.Neg_Control_Human,1.0,0.020374898125509373,3475.0,0.0
2.CRko.sg_hALAS1-INTRON_3.ALAS1-INTRON|2.CRko.sg_hALAS1-INTRON_8.ALAS1-INTRON,1.0,0.020374898125509373,443.0,0.0
2.CRko.sg_hALAS1-INTRON_3.ALAS1-INTRON|2.CRko.sg_hCHAT-INTRON_5.CHAT-INTRON,1.0,0.020374898125509373,172.0,0.0
2.CRko.sg_hALAS1-INTRON_4.ALAS1-INTRON,32.0,0.6519967400162999,422.0,568.8600992335462
2.CRko.sg_hALAS1-INTRON_4.ALAS1-INTRON|1.CRko.sg_Neg_Control_Human_GA_0485.Neg_Control_Human,1.0,0.020374898125509373,3710.0,0.0
2.CRko.sg_hALAS1-INTRON_4.ALAS1-INTRON|1.CRko.sg_Neg_Control_Human_GA_0497.Neg_Control_Human,1.0,0.020374898125509373,721.0,0.0
2.CRko.sg_hALAS1-INTRON_4.ALAS1-INTRON|4.CRko.sg_hTNFRSF1A_1.TNFRSF1A,1.0,0.020374898125509373,603.0,0.0
